,drug_concept_id,ATC_1_id,ATC_1_name,ATC_2_id,ATC_2_name,ATC_3_id,ATC_3_name,ATC_4_id,ATC_4_name,ATC_5_id,ATC_5_name
0,1110410,21604180,NERVOUS SYSTEM,21604253,ANALGESICS,21604254,OPIOIDS,21604255,Natural opium alkaloids,21604256,morphine
1,1713332,21602795,ANTIINFECTIVES FOR SYSTEMIC USE,21602796,ANTIBACTERIALS FOR SYSTEMIC USE,21602818,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",21602819,Penicillins with extended spectrum,21602823,amoxicillin
2,1539403,21601237,CARDIOVASCULAR SYSTEM,21601853,LIPID MODIFYING AGENTS,21601854,"LIPID MODIFYING AGENTS, PLAIN",21601855,HMG CoA reductase inhibitors,21601856,simvastatin
3,1361711,21601237,CARDIOVASCULAR SYSTEM,21601605,VASOPROTECTIVES,21601606,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,21601625,Muscle relaxants,21600317,glyceryl trinitrate
4,1124300,21603931,MUSCULO-SKELETAL SYSTEM,21603932,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,21603933,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",21603940,Acetic acid derivatives and related substances,21603641,diclofenac
5,1550557,21602681,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",21600600,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",21600651,INTESTINAL ANTIINFLAMMATORY AGENTS,21600652,Corticosteroids acting locally,21600653,prednisolone
6,1112807,21604180,NERVOUS SYSTEM,21600960,ANTITHROMBOTIC AGENTS,21604303,OTHER ANALGESICS AND ANTIPYRETICS,21604304,Salicylic acid and derivatives,21600991,acetylsalicylic acid
7,1397599,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,21601387,ANTINEOPLASTIC AGENTS,21603746,OTHER ANTINEOPLASTIC AGENTS,21603747,Platinum compounds,21603748,cisplatin
8,1328165,21601237,CARDIOVASCULAR SYSTEM,21601744,CALCIUM CHANNEL BLOCKERS,21601765,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,21601770,Benzothiazepine derivatives,21601771,diltiazem
9,923645,21600001,ALIMENTARY TRACT AND METABOLISM,21600046,DRUGS FOR ACID RELATED DISORDERS,21600080,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),21600095,Proton pump inhibitors,21600096,omeprazole
10,1308216,21601237,CARDIOVASCULAR SYSTEM,21601782,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,21601783,"ACE INHIBITORS, PLAIN",21601784,"ACE inhibitors, plain",21601787,lisinopril
11,1551099,21602681,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",21602722,CORTICOSTEROIDS FOR SYSTEMIC USE,21602723,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",21602728,Glucocorticoids,21602735,prednisone
12,974166,21601237,CARDIOVASCULAR SYSTEM,21601461,DIURETICS,21601462,"LOW-CEILING DIURETICS, THIAZIDES",21601463,"Thiazides, plain",21601466,hydrochlorothiazide
13,1118084,21603931,MUSCULO-SKELETAL SYSTEM,21603932,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,21603933,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",21603991,Coxibs,21603992,celecoxib
14,939259,21605007,RESPIRATORY SYSTEM,21600600,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",21605009,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,21600652,Corticosteroids acting locally,21600658,budesonide
15,1501700,21602681,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",21602751,THYROID THERAPY,21602752,THYROID PREPARATIONS,21602753,Thyroid hormones,21602754,levothyroxine sodium
16,1506270,21602681,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",21602722,CORTICOSTEROIDS FOR SYSTEMIC USE,21602723,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",21602728,Glucocorticoids,21602732,methylprednisolone
17,19097468,,,,,,,,,,
